"Concentration","DistanceToAirport","Precipitation","DistanceToMilitaryBase","DistanceToLandfill","DistanceToFedCWP","DistanceToAg","DistanceToChem","DistanceToRubber","DistanceToTextile","DistanceToApparel","DistanceToFnB","DistanceToFurniture","DistanceToLeather","DistanceToMachinery","DistanceToMiscellaneous","DistanceToPaper","DistanceToWood","SOCTonsPerHA","MedPFAS","PopDen","STUSPS","Median.Earnings.Inflation.Adj.2020","Bachelor.Degree.Percent.2020","Bachelor.5Year.Change","Bachelor.10Year.Change","Earnings.5Year.Change","Earnings.10Year.Change","Longitude","Latitude"
3700,10.0290958529917,273.51,9.26115455650474,6.49420601177171,9.60825962332722,6.35642036755836,8.41737676049089,7.69671774552086,10.4589002200737,10.4541674174318,8.47003032405798,7.62136903447436,9.76120245720534,6.86206964215867,8.46902061576638,8.03950427133195,9.40175946395202,15,"High",222,"CA",35744,12.6,1.5,-2,4711,4549,-117.0085216,32.59885329
3650,9.25637401852949,568.92,10.2002460989949,9.42692023030536,11.718633554905,7.49707985231943,6.97570158472034,8.16075135211856,8.86051023872419,9.25953232524274,6.93026195616631,6.22927425468565,10.4458816931891,7.96651367080067,8.45139669168974,7.21194687827495,7.93008776706646,57,"High",199,"CA",49081,29.1,6.5,0.200000000000003,17676,18531,-122.282286,37.801924
3400,9.42452914744841,300.12,8.18052262425666,8.51823319264622,11.1252045846187,8.26496495644891,4.96343511251881,8.05571584654187,9.22466882121,9.32768601172098,7.67046644485995,8.8794216537321,9.61277394799307,7.23980939074356,8.53487101239605,8.77824612381288,7.1521364684908,17,"High",255,"CA",27189,5.8,0.2,-1.3,4223,4743,-118.2660903,33.7594385
3389,10.1479193756881,622.24,9.94809781293086,8.58273514161595,11.6771512610172,9.68762596950396,5.58035785999645,5.76778389112472,9.10560889056143,9.51973291860282,6.34949977983254,8.06788429557551,10.0156976922951,5.76778389112472,7.75000096728254,6.87019785603737,9.3887398846397,36,"High",225,"CA",40251,18.4,2.7,-5.7,8623,7924,-122.364502,37.920747
3230,9.31867319885008,529.83,8.5216933408829,8.6255875966815,11.4351430434596,9.92951822762141,6.14938549222009,7.46313521569562,9.31211988629286,10.5264094907068,7.16035213633815,7.10674834330662,9.50641486963377,6.60613196121569,7.38606556851022,7.38606556851022,7.69951461645259,46,"High",173,"CA",63915,28.1,0.900000000000002,-12.3,8216,7643,-122.1398407,38.0656196
3200,10.0062495357857,879.08,9.93508486862148,8.70467034109401,9.99687178724782,9.57432842950747,7.94340489602363,7.94340489602363,6.64962046968583,6.3892554252106,7.1774947309476,7.47909157018754,9.43153402823636,6.90970417845986,6.22711954698137,6.75034114203374,8.69913095965144,48,"High",180,"MN",47277,21.5,-0.600000000000001,-5,3912,6075,-92.964936,44.963022
3089,6.33302949167242,366.42,10.0300058735991,9.0725751170939,12.6290904786933,7.36309290734733,7.93306960844548,10.1827092516762,11.8217142014765,11.7993924337001,7.13704962523363,11.2065017468426,12.3305108689633,6.75805014953287,6.34667254866893,11.2585784150054,11.7356606294794,9,"High",159,"CA",53712,18.8,0.699999999999999,-7.8,11777,11195,-120.4510642549,34.8975354255
2820,9.42860569533656,300.12,8.16549851706532,8.52437962693876,11.1259453207985,8.2609975244044,4.85649396136658,8.06662900839272,9.22719471057824,9.33235226382926,7.67035326278105,8.87597774851319,9.61240481444631,7.24828452863693,8.52862914964902,8.77957768009522,7.17225834987141,17,"High",255,"CA",27189,5.8,0.2,-1.3,4223,4743,-118.266729,33.7594347
2706,5.79947026610471,298.15,9.88772520723793,8.9518971671626,10.4290501911312,9.02223226856233,6.05497337723412,7.2764133414911,8.02104967188582,8.81393618638442,7.58579483664447,7.2764133414911,9.6641023658336,6.00540793273151,6.62677820893942,6.56164948348051,7.89375587901465,85,"High",199,"CA",54718,32.1,1.6,-7.1,7718,10826,-117.8702445,33.678002
2700,8.86325477616265,1194.6,8.39237450871265,9.52532345282861,10.6345754526218,9.59046495160336,7.56320571022976,7.99446034260552,8.8488004337558,9.41858818808535,8.97270795264248,8.92253016037856,10.3562014620378,8.54994700925856,6.29119702966288,8.70649913263947,9.21912621329814,37,"High",196,"DE",52553,20.1,-1.9,-14.9,4933,4189,-75.658263,39.629279
2700,10.0985600988237,894.85,10.9924113007322,6.83230983630683,11.7340132536209,8.80523414955631,9.23504878257355,9.11335668495655,9.16578295865307,11.0509633956453,8.57898222466378,9.59574600664501,10.6139533323692,8.60902706830316,8.58659542391255,8.88438743536142,8.95793075315636,68,"High",104,"CA",50868,26.9,2.3,-10.7,9724,7066,-122.7527355,38.29580545
