"DistanceToAirport","Precipitation","DistanceToMilitaryBase","DistanceToLandfill","DistanceToFedCWP","DistanceToAg","DistanceToChem","DistanceToRubber","DistanceToTextile","DistanceToApparel","DistanceToFnB","DistanceToFurniture","DistanceToLeather","DistanceToMachinery","DistanceToMiscellaneous","DistanceToPaper","DistanceToWood","SOCTonsPerHA","PopDen","STUSPS","Median.Earnings.Inflation.Adj.2020","Bachelor.Degree.Percent.2020","Bachelor.5Year.Change","Bachelor.10Year.Change","Earnings.5Year.Change","Earnings.10Year.Change","Longitude","Latitude"
12.4791693131729,356.41,12.4318185419864,11.3525010927445,11.9873720830794,12.2694812405569,11.5996211698217,12.316227741867,13.3841035187992,13.6476073740424,12.4169574822281,13.3297783773582,13.1205972011255,12.316227741867,12.3315620928202,12.4600486970694,12.5843622573129,45.2857132,1,"",0,0,0,0,0,0,-108.708333333203,49.0416666666595
12.6419689706963,327.96,12.5989396817455,11.2919604560382,11.9910162471021,12.406798594397,11.9828906165312,12.407755544758,13.4093756002228,13.709237759174,12.5073337550099,13.2600366111171,13.0134346970461,12.407755544758,12.4178669177202,12.6252563454376,12.7512622543475,49,1,"",0,0,0,0,0,0,-107.91666666653,49.0416666666595
12.0028372352797,394.71,12.6829067192302,10.4177493103246,11.5436561747143,12.0335009232883,11.5663081333944,12.7337564821856,13.1244071083728,13.6910159999078,11.7665494142419,12.9619654348869,12.6697794342357,12.0596050764756,12.7337564821856,13.0269703108996,12.9932413470139,34.57143021,1,"",0,0,0,0,0,0,-105.624999999845,49.0416666666595
11.8198459406687,384.35,12.5756516943517,10.4478903311042,11.2792175300987,11.8187826518719,11.6181054287985,12.6334665208007,13.0568125138163,13.657461924091,11.6100179525715,12.8954931082045,12.601003831713,11.8964614307902,12.6334665208007,13.0941720297561,12.9281212162483,21.4196434,1,"",0,0,0,0,0,0,-105.166666666508,49.0416666666595
11.3974395515198,390.99,12.0615951299097,10.6145673726887,11.4849195008239,10.5501855920507,11.4669920682841,12.170178161947,12.7679765408244,13.5303029741714,11.719081627853,12.6456916847841,12.4132396842657,11.5383780595013,12.170178161947,13.0270964044944,12.6811423972723,52.7142868,1,"",0,0,0,0,0,0,-103.499999999828,49.0416666666595
11.6440332598011,442.79,11.7325508944756,10.1815904083432,11.875494212066,10.9927889275861,11.6562957585019,11.8949293586731,12.6093073814706,13.4709631391293,11.8797258263693,12.5420894447097,12.3934487293005,11.7183678978026,11.8949293586731,12.967704876607,12.5757281302218,48.1428566,1,"",0,0,0,0,0,0,-102.749999999822,49.0416666666595
11.5477201104042,469.79,11.365031617599,11.1963442087849,12.0847930919381,10.9333167988463,11.5430109384169,11.611220066745,12.43799080875,13.4142764049743,11.592361753249,12.4642563911716,12.4228055439013,11.3442727629013,11.611220066745,12.8623154341749,12.492633450997,57.57143021,1,"",0,0,0,0,0,0,-102.041666666483,49.0416666666595
11.4477501936052,455.41,11.2306647044931,11.4470818758401,12.0605045524703,10.465057458593,11.4528931199867,11.5090498102436,12.3606253076537,13.3908929879757,11.4899625235945,12.4411434628237,12.4470734044727,11.2082947197852,11.5090498102436,12.8083021892992,12.4661503499343,70.14286041,1,"",0,0,0,0,0,0,-101.749999999814,49.0416666666595
11.3791600567886,507.1,11.1594735875866,11.4450357390545,12.0575689722735,9.36600078689081,11.4092277186086,11.4128152566666,12.193742184162,13.3443476632429,11.3995401341532,12.4153405237062,12.5119360082849,11.1448732239869,11.4128152566666,12.6921105008441,12.4316859895847,91.14286804,1,"",0,0,0,0,0,0,-101.166666666477,49.0416666666595
11.6562895655401,571.93,10.640204935854,11.5694243483855,12.3546777777396,11.4192225340562,10.2227852614888,11.6466145592822,11.7947703638221,12.9728252151028,11.4164057536735,11.1939725700445,12.6003165783828,11.6454283412741,11.5610636635983,11.9172527902143,11.4052884867369,42.65306091,1,"",0,0,0,0,0,0,-98.2083333331196,49.0416666666595
11.6181452931401,605.92,11.5954769317878,10.5165306460371,12.4599215060129,10.3807891403214,10.8508232028642,10.8511945693277,12.0494998117833,12.6721342472704,10.7871673234269,10.8805950828078,12.2386529360446,10.8572789920099,10.8398857733321,11.5644777309044,11.2553740570033,91.27272797,1,"",0,0,0,0,0,0,-96.4999999997727,49.0416666666595
